	BacteriaSSU	CyanobacteriaSSU	RickettsialesSSU
NODE_19702_length_1856_cov_2.493615	1	0	0
NODE_348690_length_59_cov_14.000000	2	0	0
NODE_190348_length_354_cov_1.270903	4	0	0
NODE_347714_length_75_cov_51.850000	2	0	0
NODE_347976_length_60_cov_16.000000	1	0	0
NODE_23509_length_1624_cov_2.543021	1	0	0
NODE_34566_length_1228_cov_2.667519	1	0	0
NODE_2003_length_9497_cov_155.389854	4	0	0
NODE_166684_length_393_cov_9.784024	1	0	0
NODE_348724_length_58_cov_5.333333	2	0	0
NODE_166681_length_393_cov_43.414201	4	0	0
NODE_2401_length_8291_cov_5.774891	1	0	0
NODE_348137_length_56_cov_16.000000	2	0	0
NODE_2647_length_7687_cov_49.558045	2	0	0
NODE_99447_length_572_cov_1.599613	2	0	0
NODE_15602_length_2195_cov_69.624299	2	0	0
NODE_257039_length_269_cov_1.308411	2	0	0
NODE_307_length_39248_cov_8.358610	1	0	0
NODE_50380_length_930_cov_3.898286	2	2	0
NODE_348265_length_56_cov_8.000000	2	0	0
NODE_348226_length_56_cov_135.000000	2	0	0
NODE_115231_length_515_cov_1.650000	1	0	0
NODE_347624_length_75_cov_52.300000	2	0	0
NODE_192030_length_351_cov_1.760135	2	0	0
NODE_35355_length_1202_cov_1.775065	1	0	0
NODE_32659_length_1271_cov_3.667763	2	0	0
NODE_149206_length_427_cov_160.725806	4	0	0
NODE_340148_length_210_cov_4.974194	1	0	0
NODE_288804_length_246_cov_2.832461	2	0	0
NODE_348156_length_56_cov_8.000000	1	0	0
NODE_254265_length_271_cov_1.319444	1	0	0
NODE_191858_length_351_cov_9.378378	2	0	0
NODE_21022_length_1771_cov_2.830420	1	0	0
NODE_51525_length_916_cov_3.461092	1	0	0
NODE_2661_length_7602_cov_165.267524	4	0	0
NODE_155987_length_412_cov_3.635854	2	0	0
NODE_335_length_41205_cov_10.964277	1	0	0
